Time,Qbor_pos_first_year,Qbor_pos_second_year,Qbor_pos_tenth_year,Qbor_pos_avg_20_years
1224000,3585.431885,3296.168213,3236.193115,3253.7619019
1227600,4007.30127,3775.971436,3704.367676,3722.26048595
1231200,4246.391602,4039.67334,3963.385254,3981.3465088499993
1234800,4388.780273,4195.188477,4116.820313,4096.516833650001
1238400,4475.666992,4289.771973,4210.557129,4101.751391700001
1242000,4529.964355,4348.552246,4156.314453,4132.55061025
1245600,4564.377441,4385.485352,3792.164795,4162.8255006
1249200,4577.515625,4298.007324,4174.138184,4186.8928223
1252800,4046.440186,3931.202881,4296.618652,4240.44764405
1256400,4403.186523,4258.370605,4332.657227,4326.39174805
1260000,4449.908203,3924.004395,4263.728027,4239.777831900001
1263600,2812.771729,2310.933594,2587.862061,2588.3136353500004
1267200,1793.317505,1522.938354,1659.264771,1660.59797975
1270800,2368.492676,1107.659912,1183.466309,1306.9436707
1274400,3569.724121,2813.663086,2645.855713,2688.28979495
1278000,3990.989014,3537.176025,3428.705811,3387.51015625
1281600,2611.943359,2218.729492,3323.989746,2914.32292475
1285200,1625.545654,1378.678955,2068.256348,2036.3629273000001
1288800,2454.412842,2355.195313,1322.390015,1519.0987061
1292400,1683.349365,1418.54126,948.1561279,1042.547045855
1296000,1104.74292,946.5074463,727.684082,771.33936463
1299600,811.5513916,704.2576904,582.1157837,606.6647796599998
1303200,640.4179688,558.7965698,480.9367981,496.65793915000006
1306800,525.7429199,460.2243042,407.9440308,418.52580871500004
1310400,1288.602417,582.6809082,527.3815918,610.4966583349999
1314000,3005.859863,2602.689941,2532.77002,2579.6555785500004
1317600,3737.227783,3457.58374,3381.976807,3413.0824707
1321200,4095.462158,3864.42627,3786.504883,3811.54193115
1324800,4296.369629,4087.022949,4008.232666,4030.5572387500006
1328400,4416.992188,4219.572266,4140.633301,4161.4084962
1332000,4491.162598,4300.798828,4222.070801,4241.87163095
1335600,4537.32373,4351.147949,4272.770996,4291.946337900001
1339200,4566.147461,4382.474121,4304.486328,4323.2498048
1342800,4583.802734,4400.863281,4323.836914,4342.2894776
1346400,4593.686523,4378.905762,4314.638672,4334.121264699999
1350000,4575.094238,3234.145508,3583.604736,3677.8946533500007
1353600,3715.724854,1975.70752,2141.277588,2243.83021855
1357200,2239.298584,1358.585938,1438.442139,1490.6459413
1360800,2156.672852,1755.083984,1711.025024,1722.4113525
1364400,3446.571533,3121.781006,3068.905029,3087.2444091
1368000,2116.062256,1901.165039,1891.643188,1900.7125976499997
1371600,1364.63916,1203.109985,1198.680054,1206.4419251499999
1375200,990.5615234,865.2445679,862.4429932,868.8853424100001
1378800,771.1246338,670.602356,668.7023926,674.0681823699999
1382400,624.1775513,541.2564087,539.9047241,544.4414093
1386000,519.8311768,450.2068176,449.1312256,453.01473999
1389600,443.2398682,383.9796448,383.0213318,386.37512818500005
1393200,699.387085,334.1327515,333.2190247,351.850178525
1396800,2704.253662,959.9562378,971.8024902,1066.26213073
1400400,3574.096436,2756.109863,2717.357422,2766.2421142499998
1404000,3999.905762,3519.575684,3461.274414,3486.7286864499997
1407600,4235.450195,3892.696045,3825.792236,3760.4356689000006
1411200,4376.102539,4101.990723,4030.726074,3920.9330566500007
1414800,4462.702637,4228.226563,3736.72168,4031.38983155
1418400,4517.164551,4306.283203,4005.368896,4105.565747000001
