Time,Qbor_pos_first_year,Qbor_pos_avg_20_years
1728000,849.9920044,2817.5998169000004
1731600,2475.583984,3127.4058959999993
1735200,3454.553467,3252.1190552000003
1738800,3890.983643,3273.1259521499996
1742400,4116.618164,3277.22490245
1746000,4247.464355,3270.14830325
1749600,4326.805176,3233.34121105
1753200,4376.23291,3247.4641113499997
1756800,4408.151855,3273.41485585
1760400,4429.539063,3285.628125
1764000,4443.734375,3270.3947753500006
1767600,4452.023438,3189.1164429
1771200,4355.848145,3205.4522583499997
1774800,4003.127441,3195.2743285
1778400,4317.095703,3194.6786621
1782000,4408.983398,3217.75648195
1785600,4415.163574,3237.6690794999995
1789200,3803.126221,3190.3183349500005
1792800,2775.949463,3057.1676392
1796400,3678.087646,3279.2404541000005
1800000,2415.246826,3454.5827514999996
1803600,1568.573608,2778.8321350500005
1807200,1139.384399,2341.8554443499997
1810800,886.4332886,2513.87933666
1814400,1686.340698,2822.12881766
1818000,3122.098389,3154.7578002500004
1821600,3710.299805,3278.5097900499995
1825200,3977.656738,3277.3263794500003
1828800,4130.878906,3277.5494873000002
1832400,4245.408203,3251.96655285
1836000,4319.695801,3280.65555425
1839600,4366.436523,3292.9523682
1843200,4396.833008,3236.06806645
1846800,4417.30957,3200.53571775
1850400,3978.412109,3138.9361572000003
1854000,4182.041504,3145.7728514
1857600,4367.333008,3098.1524413999996
1861200,4430.579102,3075.3402099500004
1864800,4456.250977,3109.3602051000003
1868400,4468.904785,3152.24149175
1872000,4475.049316,3297.06583245
1875600,4477.413574,3368.83394775
1879200,4477.732422,3301.4136963000005
1882800,4431.265625,3268.6433718
1886400,4353.983398,3222.54035635
1890000,3957.409424,3118.3578979000004
1893600,4181.404785,3057.6977417499998
1897200,4366.288574,3050.5400146499996
1900800,4437.016113,3095.63557125
1904400,4460.904297,3095.49763195
1908000,4460.902344,3091.6279787
1911600,4458.811523,3112.0213988999994
1915200,4457.744141,3135.94390865
1918800,4466.683594,3128.5015381
1922400,4473.118164,3091.4587524999997
1926000,4475.744141,3072.0556152
1929600,4476.173828,3104.9242797
1933200,4475.468262,3148.40180675
1936800,4473.92334,3118.5664795500006
1940400,4471.383301,3116.4542114
1944000,4467.532715,3104.51820065
1947600,4462.208496,3087.3430298
1951200,4455.913086,3086.915503
1954800,4449.138672,3115.8648681499994
1958400,4442.0,3115.9763428
1962000,4425.404785,3124.6846313
1965600,4392.07373,3107.26715085
1969200,4335.537109,3106.5689088
1972800,2709.531738,3068.8527587999997
1976400,1781.888306,2943.83178095
1980000,1300.996948,2900.3262634499997
1983600,1011.135925,2918.8421723000006
1987200,816.656311,2927.6420074499997
1990800,1645.373779,2985.9748412999998
1994400,3079.437988,3087.0507568000003
1998000,3663.991699,3188.97120365
2001600,3925.064941,3202.6658935
2005200,4107.552246,3103.546203749999
2008800,4225.84375,3101.3471435999995
2012400,4037.59082,3063.03200665
2016000,4022.830078,3094.82197275
2019600,4276.753418,3094.684204
2023200,4366.973145,3103.9190430999997
2026800,4405.902344,3119.54111325
2030400,4426.244629,3117.4811646500007
2034000,4437.068359,3112.2820678000003
2037600,4441.974121,3086.8568116
2041200,4443.199219,3107.39029545
2044800,4442.200195,3126.4237548
2048400,4440.023438,3128.4625611499996
2052000,4437.459473,3116.10257585
2055600,4389.421387,3071.246399
2059200,3149.403076,3001.7689452
2062800,1985.103271,2892.02622065
2066400,1404.257813,2864.1317444499996
2070000,1070.556763,2919.3864075
2073600,2649.49585,3036.9070313
2077200,3533.333496,3082.8604736500006
2080800,3916.679932,3087.98892825
2084400,4098.394043,3098.6945069000003
2088000,4189.478516,3118.2027953000006
2091600,4272.464844,3108.1695434499998
2095200,4329.966797,3079.69443365
2098800,4366.029297,3038.35469975
2102400,4389.090332,3069.72282725
2106000,4404.406738,3095.0036744
2109600,4414.595703,3131.0463502500006
2113200,4421.014648,3123.0584960000006
2116800,4424.582031,3098.1478515999993
2120400,4426.234375,3131.1018555
2124000,4426.761719,3098.5799193999997
2127600,4426.555664,3103.0767822000007
2131200,3960.260498,3034.7895019
2134800,4172.909668,3033.2423461999997
2138400,4345.55957,3063.4245605
2142000,4359.089355,3075.8130127000004
2145600,3447.70874,3059.1020997
2149200,2122.138184,2934.94788825
2152800,1473.189819,2937.90545045
2156400,1111.935547,2938.4566894499994
2160000,2518.185059,2944.30120855
2163600,3388.287842,3009.90278325
2167200,3677.38916,3009.7506834999995
2170800,3210.301025,2977.73001715
2174400,2142.559082,2896.00277095
2178000,3396.610352,3020.3263672000003
2181600,3895.113281,3048.3626465999996
2185200,4115.922852,3111.70358885
2188800,4232.15332,3133.0182738999997
2192400,4074.082764,3085.8677002
2196000,3942.40332,3018.4398559500005
2199600,4247.174316,3070.9592285500007
2203200,4349.308105,3127.73790275
2206800,4389.828613,3131.1194092
2210400,4409.324219,3061.90313735
2214000,4419.023926,3078.17045905
2217600,4422.945313,3125.9487916499997
2221200,4423.339355,3127.8598633500005
2224800,4421.696777,3132.44165045
2228400,4374.075195,3068.6098387499997
2232000,3137.777832,3056.7962525499997
2235600,1975.840088,2956.1716308499995
2239200,1396.567383,2852.49250485
2242800,1063.900879,2780.1896119500007
2246400,846.7808228,2700.0866425
2250000,695.8753662,2748.544757055
2253600,586.8613281,2770.86173706
2257200,505.2004395,2652.202853385
2260800,755.9044189,2745.0941710949996
2264400,2669.473877,2986.6158081999997
2268000,3471.440918,3112.5564697
2271600,3854.444092,3146.0467406999996
2275200,3891.470703,3132.69737545
2278800,3789.298828,3116.5316284499995
2282400,4144.693359,3137.2158203500003
2286000,4278.522461,3143.1630616
2289600,4339.76416,3152.60594485
2293200,4373.439453,3114.84326175
2296800,4393.232422,3053.43714595
2300400,4404.60498,3080.5751222000004
2304000,4410.586426,3101.6734862000003
2307600,4413.032227,3115.7845337
2311200,4413.379883,3089.0444458499996
2314800,4361.277832,3151.89018545
2318400,3930.13916,3146.9269041499997
2322000,3078.33374,3048.53135985
2325600,1928.640747,2848.97426145
2329200,1353.318237,2768.21152345
2332800,1026.601318,2774.7890564
2336400,815.2078247,2787.05064989
2340000,1799.877686,2892.923877
2343600,3093.429932,3068.02207035
2347200,3572.589355,3072.46369635
2350800,3887.535889,3085.8937988
2354400,4088.225342,3136.8676634999997
2358000,4208.52002,3093.3693115
2361600,4281.041992,3072.7796508500005
2365200,4326.166504,3067.8547119000004
2368800,4355.211426,3093.3109498000003
2372400,4374.218262,3116.6820801
